PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Groningen,42880,16ZK,16ZK03,Hogeland College voor Ath Havo Mavo Vbo Lwoo,A.G. Bellstraat,14,9989 AT,WARFFUM,HET HOGELAND,Overige, , ,HAVO/VWO,Noord
Limburg,40619,23HH,23HH00,Praktijkonderwijs Roermond,Heinsbergerweg,192,6045 CL,ROERMOND,ROERMOND,Bijzonder,475323437,www.pro-roermond.nl,PRO,Zuid
Limburg,40842,01GN,01GN00,Valuascollege Lyc Ath Havo Mavo Vbo Lwoo,Hogeweg,24,5911 EB,VENLO,VENLO,Bijzonder,773590400,www.valuascollege.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,40842,16XD,16XD00,College Den Hulster Scholengemeenschap voor ATH HAVO MAVO VBO LWOO,Hagerhofweg,15,5912 PN,VENLO,VENLO,Bijzonder,773590300,www.denhulster.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,40842,19HR,19HR00,Blariacumcollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Drie Decembersingel,40,5922 BD,VENLO,VENLO,Bijzonder,773590200,www.blariacum.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,40996,01MO,01MO00,Atheneum van de Trevianum Scholengroep,Bradleystraat,25,6135 CV,SITTARD,SITTARD-GELEEN,Bijzonder,464206900,www.trevianum.nl,VWO,Zuid
Limburg,40996,04DS,04DS00,Gymnasium van de Trevianum Scholengroep,Bradleystraat,25,6135 CV,SITTARD,SITTARD-GELEEN,Bijzonder,464206900,www.trevianum.nl,VWO,Zuid
Limburg,40996,07BQ,07BQ00,HAVO van de Trevianum Scholengroep,Bradleystraat,25,6135 CV,SITTARD,SITTARD-GELEEN,Bijzonder,464206900,www.trevianum.nl,HAVO,Zuid
Limburg,41100,01OE,01OE57,Yuverta,Spoorweg,8,5963 NJ,HEGELSOM,HORST AAN DE MAAS,Bijzonder,773981620,yuverta.nl/vmbohorst,VBO/MAVO,Zuid
Limburg,41100,01OE,01OE58,Yuverta,Jagerstraat,6,6042 KA,ROERMOND,ROERMOND,Bijzonder, ,yuverta.nl/vmboroermond,VBO/MAVO,Zuid
